id,position,country,start,until
5070296,Minister for Social and Family Development,SG,2012-11-01T00:00:00Z,2015-05-03T00:00:00Z
6324008,Minister for Home Affairs,SG,2010-11-01T00:00:00Z,2011-05-20T00:00:00Z
57643,Minister for Finance,SG,2001-11-10T00:00:00Z,2007-12-01T00:00:00Z
1521378,Co-ordinating Minister for National Security,SG,2005-09-01T00:00:00Z,2010-10-31T00:00:00Z
5070296,Minister in the Prime Minister's Office,SG,2015-04-09T00:00:00Z,2018-04-30T00:00:00Z
58142,Minister for Trade and Industry,SG,1997-06-03T00:00:00Z,2004-08-11T00:00:00Z
313300,Minister for Trade and Industry,SG,1979-03-15T00:00:00Z,1981-05-31T00:00:00Z
6548691,Minister for Trade and Industry,SG,2004-08-12T00:00:00Z,2015-09-30T00:00:00Z
5520446,Minister for Health,SG,2011-05-21T00:00:00Z,2021-05-14T00:00:00Z
461128,Co-ordinating Minister for National Security,SG,2010-11-01T00:00:00Z,2011-05-21T00:00:00Z
5070296,minister of state,SG,2011-05-21T00:00:00Z,2012-07-31T00:00:00Z
5070296,minister of state,SG,2012-08-01T00:00:00Z,2013-08-31T00:00:00Z
5591179,"Minister for Culture, Community and Youth",SG,2015-10-01T00:00:00Z,2020-07-26T00:00:00Z
7937671,Minister for Sustainability and the Environment,SG,2011-05-21T00:00:00Z,2015-09-30T00:00:00Z
313300,Deputy Prime Minister of Singapore,SG,1985-01-02T00:00:00Z,1990-11-28T00:00:00Z
6732618,Minister for National Development,SG,1999-06-03T00:00:00Z,2011-05-20T00:00:00Z
7682037,Minister for Social and Family Development,SG,2015-05-04T00:00:00Z,2017-09-10T00:00:00Z
17722375,Minister for Sustainability and the Environment,SG,2015-10-01T00:00:00Z,2020-07-26T00:00:00Z
3518218,Minister for Defence,SG,2003-08-01T00:00:00Z,2011-05-20T00:00:00Z
58142,Minister for Health,SG,1994-01-01T00:00:00Z,1997-01-01T00:00:00Z
313300,Minister for Health,SG,1981-01-06T00:00:00Z,1982-05-31T00:00:00Z
6548691,Minister for Health,SG,1999-06-03T00:00:00Z,2003-07-31T00:00:00Z
7387540,Minister for Transport,SG,2021-05-15T00:00:00Z,2023-07-12T00:00:00Z
6732618,Minister for Communications and Information,SG,1991-09-01T00:00:00Z,1999-06-03T00:00:00Z
6548691,Minister in the Prime Minister's Office,SG,2003-08-01T00:00:00Z,2004-08-11T00:00:00Z
6732618,Minister for Sustainability and the Environment,SG,1993-07-01T00:00:00Z,1995-04-16T00:00:00Z
38987,Minister for Defence,SG,1995-08-01T00:00:00Z,2003-08-01T00:00:00Z
16204683,Minister for Manpower,SG,2018-05-01T00:00:00Z,2021-05-14T00:00:00Z
1521378,Minister for Home Affairs,SG,1985-01-02T00:00:00Z,1994-01-01T00:00:00Z
1521378,Deputy Prime Minister of Singapore,SG,2004-08-12T00:00:00Z,2009-04-01T00:00:00Z
7387540,Minister for Trade and Industry,SG,2015-10-01T00:00:00Z,2018-04-30T00:00:00Z
6548691,Minister for National Development,SG,1995-04-17T00:00:00Z,1999-06-02T00:00:00Z
6324008,Minister for Foreign Affairs,SG,2011-05-21T00:00:00Z,2015-09-30T00:00:00Z
38987,Co-ordinating Minister for National Security,SG,2003-08-01T00:00:00Z,2005-09-01T00:00:00Z
983752,Minister for Manpower,SG,2011-05-21T00:00:00Z,2012-07-31T00:00:00Z
461128,Minister for Home Affairs,SG,1994-01-02T00:00:00Z,2010-10-31T00:00:00Z
6504758,"Minister for Culture, Community and Youth",SG,2014-05-01T00:00:00Z,2015-09-30T00:00:00Z
461128,Deputy Prime Minister of Singapore,SG,2005-09-01T00:00:00Z,2011-05-21T00:00:00Z
313300,Emeritus Senior Minister,SG,2004-08-12T00:00:00Z,2011-05-21T00:00:00Z
